datetime,Piece_weight,Screw_speed,Holding_pressure,Backpressure,Barrel_temp_zone1,Barrel_temp_zone2,Barrel_temp_zone3,Barrel_temp_zone4,Mould_temperature,Extraction_temperature,Cooling_time,Holding_time,Cycle_time,Sinks,Energy_consumption_pumps,Energy_consumption_heating,total_energy_consumption,Schrinkage
4/18/21 6:55,82.84,150.0,45.3,1.8,177.8,191.8,200.8,220.1,49.3,78.0,39.3,3.1,44.4,0,6.69,6.32,13.0,1.0
4/18/21 6:55,82.92,150.1,46.6,2.2,181.0,187.8,200.2,216.3,48.2,74.6,40.5,2.3,44.8,1,6.88,6.21,13.1,1.3
4/18/21 6:55,83.08,150.1,46.0,2.0,178.4,192.8,200.1,207.2,36.8,64.6,39.8,4.2,46.0,0,6.80,5.94,12.7,0.6
4/18/21 6:55,82.99,150.0,47.5,2.0,175.4,182.0,201.4,225.6,46.3,73.9,40.9,2.7,45.6,1,7.01,6.47,13.5,1.2
4/18/21 6:55,82.98,149.9,44.4,2.4,180.4,190.4,201.3,221.5,54.1,79.2,41.4,2.2,45.6,1,6.56,6.35,12.9,1.4
4/18/21 6:55,82.91,150.1,42.0,1.6,183.5,189.8,202.3,222.0,36.7,61.9,43.2,3.2,48.4,0,6.20,6.37,12.6,1.0
4/18/21 6:55,82.95,150.0,45.3,1.7,183.3,186.0,199.2,219.0,55.3,84.6,38.1,1.6,41.7,1,6.69,6.28,13.0,1.6
4/18/21 6:55,83.06,150.1,47.5,2.1,177.2,194.0,199.3,218.4,42.4,68.1,41.8,3.2,47.0,0,7.01,6.27,13.3,1.0
4/18/21 6:55,83.16,149.8,45.2,1.8,183.8,191.2,200.9,202.4,49.0,78.8,36.6,4.9,43.6,0,6.68,5.81,12.5,0.3
4/18/21 6:55,82.87,150.1,43.7,2.1,182.7,192.7,200.9,215.8,50.9,79.5,38.7,3.6,44.3,0,6.46,6.19,12.6,0.8
4/18/21 6:55,82.93,150.2,47.8,2.2,174.9,189.7,199.5,219.1,59.9,86.6,39.3,5.7,47.0,0,7.05,6.29,13.3,0.0
4/18/21 6:55,82.68,150.0,44.6,2.1,189.6,190.8,199.4,220.1,41.2,68.1,41.3,3.2,46.5,0,6.59,6.32,12.9,1.0
4/18/21 6:55,83.03,150.0,42.9,1.8,181.0,193.3,200.4,207.5,55.1,81.1,39.0,3.1,44.1,0,6.34,5.95,12.3,1.0
4/18/21 6:55,82.95,150.0,44.4,2.4,179.9,191.7,200.4,216.1,49.1,75.5,40.4,2.5,44.9,1,6.56,6.20,12.8,1.2
4/18/21 6:56,82.73,149.9,47.7,1.9,188.1,186.2,201.2,216.6,49.7,76.4,40.2,3.5,45.7,0,7.04,6.21,13.3,0.9
4/18/21 6:56,82.79,150.0,46.3,1.8,182.2,190.0,199.8,222.7,45.9,75.9,39.1,0.8,41.9,1,6.84,6.39,13.2,1.9
4/18/21 6:56,82.97,150.0,44.7,1.5,183.2,190.3,197.1,227.4,45.9,74.3,40.6,4.3,46.9,0,6.60,6.52,13.1,0.6
4/18/21 6:56,83.26,149.9,46.4,1.9,175.3,192.0,200.6,218.3,54.6,83.0,38.7,2.6,43.2,1,6.86,6.26,13.1,1.2
4/18/21 6:56,82.88,150.0,44.4,2.0,175.4,191.6,198.5,215.7,47.0,72.6,41.2,0.3,43.5,1,6.56,6.19,12.7,2.1
4/18/21 6:56,82.79,150.1,41.4,2.0,190.5,191.1,199.9,227.1,54.5,82.7,39.8,3.0,44.8,0,6.12,6.52,12.6,1.1
4/18/21 6:56,83.11,150.0,44.2,1.6,189.0,192.3,199.3,217.8,63.3,92.5,37.1,4.2,43.3,0,6.53,6.25,12.8,0.6
4/18/21 6:56,83.02,150.1,43.1,2.0,182.1,189.4,200.5,226.5,45.2,71.1,42.3,2.2,46.4,1,6.37,6.50,12.9,1.4
4/18/21 6:56,82.60,150.1,43.0,1.9,167.4,195.4,199.8,216.8,46.6,73.4,40.5,2.7,45.1,1,6.36,6.22,12.6,1.2
4/18/21 6:56,82.91,150.0,46.4,1.9,186.5,187.3,201.5,220.2,44.6,72.1,40.5,3.7,46.3,0,6.85,6.32,13.2,0.8
4/18/21 6:56,83.45,150.1,44.0,1.9,176.1,184.1,200.7,227.5,29.4,56.0,43.4,1.8,47.2,1,6.50,6.53,13.0,1.5
4/18/21 6:56,82.92,150.0,45.8,1.9,172.7,193.7,200.1,215.7,46.2,72.8,40.5,4.8,47.2,0,6.76,6.19,12.9,0.4
4/18/21 6:56,83.14,150.0,48.4,2.0,178.8,193.3,199.3,222.1,49.4,75.8,41.0,2.3,45.2,1,7.15,6.37,13.5,1.3
4/18/21 6:56,82.86,150.1,46.9,2.3,176.1,193.4,198.3,213.8,46.2,74.6,39.1,3.0,44.1,0,6.93,6.14,13.1,1.0
4/18/21 6:56,82.99,149.8,42.7,2.3,181.8,184.7,198.2,218.8,45.1,74.6,39.0,3.2,44.2,0,6.31,6.28,12.6,1.0
4/18/21 6:56,83.00,150.1,42.1,2.3,187.1,192.4,200.0,222.8,50.4,77.1,40.8,2.6,45.3,1,6.22,6.39,12.6,1.2
